question,answer
What is the duration of the MSSE program?,"The duration of the MSSE program is typically 2-3 years, depending on the student's course load and pace."
What is the tuition fee for the MSSE program?,The tuition fee for the MSSE program varies depending on the student's residency status and course load. Please check the SJSU website for the most up-to-date tuition information.
Can I apply to the MSSE program online?,"Yes, you can apply to the MSSE program online through the SJSU Graduate Admissions website."
What is the deadline for applying to the MSSE program?,The deadline for applying to the MSSE program varies depending on the semester. Please check the SJSU Graduate Admissions website for the most up-to-date application deadlines.
What are the admission requirements for the MSSE program?,"The admission requirements for the MSSE program include a bachelor's degree in a relevant field, a minimum GPA of 3.0, and a strong programming background."
Can I transfer credits from another institution to the MSSE program?,"Yes, you can transfer credits from another institution to the MSSE program, but please check with the SJSU Department of Computer Engineering for the transfer credit policy and procedures."
What is the culminating experience for the MSSE program?,"The culminating experience for the MSSE program is a comprehensive exam or a thesis, which demonstrates the student's mastery of the program learning outcomes."
Can I take courses online?,"Yes, some courses in the MSSE program are offered online, but please check with the SJSU Department of Computer Engineering for the online course offerings and schedules."
What is the enrollment restriction for the MSSE program?,"The enrollment restriction for the MSSE program is typically 20-25 students per cohort, depending on the semester and program capacity."
Can I take courses on a part-time basis?,"Yes, the MSSE program is designed for working professionals and can be taken on a part-time basis."
What is the career outcome for MSSE graduates?,"MSSE graduates can pursue careers in software engineering, product management, technical leadership, and other related fields."
What is the salary range for MSSE graduates?,"The salary range for MSSE graduates varies depending on the industry, location, and job title, but typically ranges from $80,000 to $120,000 per year."
What are the core courses required for the MSAI program at SJSU?,"The core courses required for the MSAI program at SJSU are CMPE 252 - Artificial Intelligence and Data Engineering (3 units), CMPE 257 - Machine Learning (3 units), and ISE 201 - Math Foundations for Decision and Data Sciences (3 units)."
How many units are required for the Specialization Courses in the MSAI program?,"Students must complete at least 6 units from the same specialization, which can be either Data Science or Autonomous Systems."
What are the courses required for the Data Science specialization in the MSAI program?,"The courses required for the Data Science specialization are CMPE 255 - Data Mining (3 units), CMPE 256 - Advanced Data Mining (3 units), and CMPE 259 - Natural Language Processing (3 units)."
Can I take courses from both Area A and Area B for the Elective Courses in the MSAI program?,"Yes, students can select 3 courses (9 units) from the list below, with at least 3 units from Area A and the remaining 6 units from either Area A or Area B."
What is the Graduate Writing Requirement for the MSAI program at SJSU?,Students must pass the Graduation Writing Assessment Requirement (GWAR) by completing CMPE 294 - Computer Engineering Seminar (3 units).
What are the options for the Culminating Experience in the MSAI program?,"Students must complete one of the following culminating experiences: a master's thesis or a master's project, which consists of CMPE 299A - Master's Thesis I (3 units), CMPE 299B - Master's Thesis II (3 units), CMPE 295A - Master's Project I (3 units), or CMPE 295B - Master's Project II (3 units)."
"Can AI students take SE courses, and vice versa?","No, AI students cannot take SE courses, and SE students cannot take AI courses. The MSAI program has its own set of required and elective courses."
Where can I find the latest course descriptions for the MSAI program?,The latest course descriptions for the MSAI program can be found in the SJSU catalog at https://catalog.sjsu.edu/preview_program.php?catoid=14&poid=8686.
What are the requirements for a master's thesis in the MSAI program?,A master's thesis includes original research on a topic approved by the thesis committee and must meet university requirements as stipulated in the SJSU Master's Thesis and Doctoral Dissertation Guidelines.
Can I choose my own topic for the master's project in the MSAI program?,"Yes, students can choose their own topic for the master's project, but it must be approved by the Graduate Advisor and the advisor."
How many units are required for the Culminating Experience in the MSAI program?,"The Culminating Experience requires 6 units, which can be completed through either a master's thesis or a master's project."
What is the purpose of the Graduate Writing Requirement in the MSAI program?,The Graduate Writing Requirement is designed to ensure that students have the necessary writing skills to complete their graduate program.
Can I take the Graduate Writing Requirement course concurrently with other courses?,"No, students must complete the Graduate Writing Requirement course before taking other courses in the program."
What is the deadline for completing the Culminating Experience in the MSAI program?,The deadline for completing the Culminating Experience is the same as the deadline for completing all other program requirements.
Can I take the Culminating Experience course concurrently with other courses?,"No, students must complete the Culminating Experience course after completing all other program requirements."
What is the purpose of the Specialization Courses in the MSAI program?,The Specialization Courses are designed to provide students with in-depth knowledge in a specific area of artificial intelligence.
Can I change my specialization after completing the core courses?,"No, students must declare their specialization at the time of admission and cannot change it after completing the core courses."
What is the purpose of the Elective Courses in the MSAI program?,The Elective Courses are designed to provide students with flexibility in their course selection and to allow them to explore different areas of artificial intelligence.
Can I take more than 9 units of Elective Courses?,"No, students can only take a maximum of 9 units of Elective Courses."
What is the purpose of the Graduate Writing Requirement in the MSAI program?,The Graduate Writing Requirement is designed to ensure that students have the necessary writing skills to complete their graduate program.
Can I take the Graduate Writing Requirement course concurrently with other courses?,"No, students must complete the Graduate Writing Requirement course before taking other courses in the program."
What is the deadline for applying to the MSAI program?,The deadline for applying to the MSAI program varies depending on the semester and is typically in October for the spring semester and March for the fall semester.
What is the admission process for the MSAI program?,"The admission process for the MSAI program involves submitting an application, providing transcripts, and taking the GRE or other required exams."
Can I apply to the MSAI program if I do not have a background in computer science?,"No, the MSAI program requires a background in computer science and related fields."
What is the tuition fee for the MSAI program?,The tuition fee for the MSAI program varies depending on the student's residency status and other factors.
Can I receive financial aid for the MSAI program?,"Yes, students can receive financial aid for the MSAI program through scholarships, grants, and loans."
What is the duration of the MSAI program?,"The duration of the MSAI program is typically 2 years, but can vary depending on the student's course load and other factors."
Can I take courses online for the MSAI program?,"Yes, some courses in the MSAI program are available online, but others may require on-campus attendance."
What is the policy on transfer credits for the MSAI program?,"The policy on transfer credits for the MSAI program is that up to 6 units of transfer credits can be accepted, but must be approved by the program advisor."
Can I take courses from other departments for the MSAI program?,"Yes, students can take courses from other departments, but must obtain approval from the program advisor."
What is the policy on course substitutions for the MSAI program?,"The policy on course substitutions for the MSAI program is that students can substitute courses with the approval of the program advisor, but must meet the program's requirements."
Can I take a leave of absence from the MSAI program?,"Yes, students can take a leave of absence from the MSAI program, but must obtain approval from the program advisor."
What is the policy on readmission to the MSAI program?,The policy on readmission to the MSAI program is that students who have been absent for more than 2 years must reapply to the program and meet the current admission requirements.
Can I receive a refund for the MSAI program?,"Yes, students can receive a refund for the MSAI program, but must follow the university's refund policy."
What is the policy on course withdrawals for the MSAI program?,"The policy on course withdrawals for the MSAI program is that students can withdraw from courses with a grade of W, but must meet the university's withdrawal policy."
Can I take a course for credit/no credit for the MSAI program?,"Yes, students can take a course for credit/no credit, but must meet the university's credit/no credit policy."
What is the policy on course repeats for the MSAI program?,"The policy on course repeats for the MSAI program is that students can repeat courses, but must meet the university's repeat policy."
Can I receive a degree from the MSAI program?,"Yes, students who complete the MSAI program requirements can receive a Master of Science in Artificial Intelligence degree."
What is the graduation requirement for the MSAI program?,"The graduation requirement for the MSAI program is that students must complete all program requirements, including the core courses, specialization courses, elective courses, and culminating experience."
Can I graduate with a minor in the MSAI program?,"No, the MSAI program does not offer a minor."
What is the policy on course prerequisites for the MSAI program?,"The policy on course prerequisites for the MSAI program is that students must meet the prerequisites for each course, which are listed in the course catalog."
Can I take a course without meeting the prerequisites?,"No, students must meet the prerequisites for each course before taking it."
What is the policy on course overload for the MSAI program?,"The policy on course overload for the MSAI program is that students can take more than 12 units per semester, but must obtain approval from the program advisor."
Can I take a course pass/fail for the MSAI program?,"No, students cannot take courses pass/fail in the MSAI program."
What is the policy on course auditing for the MSAI program?,"The policy on course auditing for the MSAI program is that students can audit courses, but must meet the university's auditing policy."
Can I take a course for graduate credit as an undergraduate?,"No, students must be enrolled in the MSAI program to take courses for graduate credit."
What is the policy on course substitutions for the MSAI program?,"The policy on course substitutions for the MSAI program is that students can substitute courses with the approval of the program advisor, but must meet the program's requirements."
Can I take a course from another university for the MSAI program?,"Yes, students can take courses from another university, but must obtain approval from the program advisor and meet the university's transfer credit policy."
What is the policy on course waivers for the MSAI program?,"The policy on course waivers for the MSAI program is that students can waive courses with the approval of the program advisor, but must meet the program's requirements."
Can I take a course without a prerequisite?,"No, students must meet the prerequisites for each course before taking it."
What is the policy on course overload for the MSAI program?,"The policy on course overload for the MSAI program is that students can take more than 12 units per semester, but must obtain approval from the program advisor."
Can I take a course pass/fail for the MSAI program?,"No, students cannot take courses pass/fail in the MSAI program."
What is the policy on course auditing for the MSAI program?,"The policy on course auditing for the MSAI program is that students can audit courses, but must meet the university's auditing policy."
Can I take a course for graduate credit as an undergraduate?,"No, students must be enrolled in the MSAI program to take courses for graduate credit."
What is the policy on course substitutions for the MSAI program?,"The policy on course substitutions for the MSAI program is that students can substitute courses with the approval of the program advisor, but must meet the program's requirements."
Can I take a course from another university for the MSAI program?,"Yes, students can take courses from another university, but must obtain approval from the program advisor and meet the university's transfer credit policy."
What is the policy on course waivers for the MSAI program?,"The policy on course waivers for the MSAI program is that students can waive courses with the approval of the program advisor, but must meet the program's requirements."
What is the Networking Software specialization in the MS in Software Engineering program?,"The Networking Software specialization provides a unique opportunity for software engineers to learn the fundamentals and design, development, and implementation of networking and distributed systems. It focuses on network architecture, transport and application layer protocols, network programming and analysis, and includes advanced topics in network security, multimedia networking, and more."
What are the required specialization core courses for the Networking Software specialization?,"The required specialization core courses are CMPE 206: Computer Network Design and CMPE 207: Network Programming and Applications, which are both 3-unit courses."
What are the specialization choice courses for the Networking Software specialization?,"The specialization choice courses are CMPE 273: Enterprise Distributed Systems, CMPE 275: Enterprise Application Development, CMPE 281: Cloud Technologies, CMPE 283: Virtualization Technologies, CMPE 285: Software Engineering Processes, CMPE 287: Software Quality Assurance and Testing, CMPE 257: Machine Learning, CMPE 258: Deep Learning, CMPE 209: Network Security, and CMPE 279: Software Security Technologies."
How many units are required for the specialization choice courses?,The specialization choice courses are 3 units each.
Can I take more than one specialization choice course?,"No, you can only take one specialization choice course."
Are there any prerequisites for the specialization core courses?,"Yes, CMPE 206: Computer Network Design requires CMPE 105: Introduction to Computer Networks, and CMPE 207: Network Programming and Applications requires CMPE 206: Computer Network Design."
Can I take the specialization core courses before taking the prerequisite courses?,"No, you must take the prerequisite courses before taking the specialization core courses."
Are the specialization core and choice courses available online?,"Some courses may be available online, but it's best to check with the department for availability and scheduling."
Can I take the specialization core and choice courses during the summer semester?,"Yes, some courses may be available during the summer semester, but it's best to check with the department for availability and scheduling."
Can I take the specialization core and choice courses as a non-degree student?,"Yes, but you must meet the prerequisites and admission requirements for the course."
Can I transfer credits from another institution to the Networking Software specialization?,"Yes, but you must meet the transfer credit requirements and have the credits approved by the department."
Can I take the specialization core and choice courses if I'm an AI student?,"Yes, but you must meet the prerequisites and admission requirements for the course, and check with the department for any specific requirements or restrictions."
Can I take the specialization core and choice courses if I'm a SE student?,"Yes, but you must meet the prerequisites and admission requirements for the course, and check with the department for any specific requirements or restrictions."
What is the typical duration of the Networking Software specialization?,"The typical duration of the specialization is 2 years, but it may vary depending on your course load and other factors."
Can I take the specialization core and choice courses part-time?,"Yes, but you must meet the prerequisites and admission requirements for the course, and check with the department for any specific requirements or restrictions."
Are there any scholarships or financial aid available for the Networking Software specialization?,"Yes, there are scholarships and financial aid available, but you must meet the eligibility requirements and apply through the university's financial aid office."
Can I take the specialization core and choice courses if I'm an international student?,"Yes, but you must meet the admission requirements for the course, and check with the department for any specific requirements or restrictions."
What is the language of instruction for the Networking Software specialization?,The language of instruction is English.
Can I take the specialization core and choice courses if I have a disability?,"Yes, but you must provide documentation and meet with the department's disability services office to discuss accommodations."
Can I take the specialization core and choice courses if I'm a veteran?,"Yes, but you must meet the admission requirements for the course, and check with the department for any specific requirements or restrictions."
What is the contact information for the department?,The contact information for the department is [insert contact information].
What is the purpose of the Graduate FAQ at SJSU?,"The Graduate FAQ is a resource for current and new graduate students at SJSU, providing an easy-to-use guide to answer common questions about graduate studies."
What are the six sections of the Graduate FAQ?,"The six sections of the Graduate FAQ are: General, Admissions, Academic Planning/Enrollment, Advancement to Candidacy, Jobs/Internships, and Culminating Experience."
Is my program a STEM program?,"Yes, all graduate programs in the College of Engineering are considered STEM programs."
Who should I contact for Visa and residency related questions?,"You should contact the ISSS Office, either virtually or in person, for any questions related to your student visa, other visa status, or compliance with immigration regulations."
What is Conditional Classification?,"Conditional Classification refers to your admission standing at SJSU, meaning you have not satisfied all the required conditions for admission. You are not allowed to take more than 12 units of graduate courses until the conditions are satisfied."
What is Classified status?,Classified status indicates that you have satisfied all of the conditions of admission.
Are there test requirements for admission?,It depends on the program you are applying to. Please check the GAPE website for test requirements by College and program.
Can I request a waiver to take the prerequisite courses in my admission letter?,"No, Conditional admission requires that your conditions are satisfied. If you have any prior coursework that might be similar and/or have any questions about your conditions, please contact your program advisor to receive guidance."
What are the tuition fees?,Tuition fees and other fees for graduate students can be found under the Bursar's Office website.
I have questions about an admission deferral. Who should I contact?,You should contact the Admissions' Office for questions about admission deferral to a graduate program.
I have been admitted and have questions about the next steps. Where can I find the information?,You can find the steps to enrollment and who to contact if you have questions on the Admissions' Office website.
Does the Department of Aviation and Technology offer a graduate program?,"Yes, it is currently called MS in Quality Assurance, but there is a plan to rename it to MS in Engineering Technology in the near future."
